bytes_transferred,packet_count,connection_duration,source_port,destination_port,retransmission_rate,protocol,timestamp,bytes_per_packet,packets_per_second
744853.2420537552,1182.0488357327213,21.018303775018722,13477,443,0.012356526416305169,HTTPS,2023-06-14 14:50:00,425.05689776263574,67.99533379995489
694405.271205696,607.5735062624917,21.89103968070141,14488,8443,0.009715608545505789,TCP,2023-06-14 14:51:00,795.2871890993412,26.1249299799763
1073377.8615416451,1187.6865859948011,19.58339428745539,40440,80,0.06326059479583401,TCP,2023-06-14 14:52:00,642.7529536832534,71.52337520411079
1142778.5946631806,1444.534220879278,23.563872428167056,9968,22,0.059806039609069626,SSH,2023-06-14 14:53:00,479.76810585204373,70.8115230275643
562175.3809369938,1411.8973979323919,18.999401248621485,44281,25,0.023658439171634873,HTTPS,2023-06-14 14:54:00,310.41052100068237,81.4165121491632
689012.5441201784,391.49772563513,38.274503338627426,57429,443,0.03022976158586443,TCP,2023-06-14 14:55:00,1071.303748023888,9.281787759171273
1180266.8955073606,1149.8995808874122,11.769725223761917,2449,80,0.07579058998300624,HTTP,2023-06-14 14:56:00,727.8230283751906,87.1496673056485
706245.0059662508,440.37660768345165,24.81767495655941,3136,80,0.05702152273757635,HTTP,2023-06-14 14:57:00,1160.2016889557733,19.490558895967553
720704.1977830491,1039.0862964730493,30.48412085235272,40045,5432,0.03818629531244539,UDP,2023-06-14 14:58:00,467.6491380540436,32.31995232063112
479568.91198169166,261.0095506972407,9.086206256731899,32766,25,0.0541316345857873,SSH,2023-06-14 14:59:00,1037.8476251358063,28.5142841949908
907398.1254866824,1123.4454836009634,5.521990674959786,15750,443,0.04611073842752031,HTTPS,2023-06-14 15:00:00,622.2080518221513,220.24460836228118
799346.4464391822,1114.7554346635757,33.338842482110394,44479,80,0.012095836705835434,TCP,2023-06-14 15:01:00,580.3420022647383,30.92500051950923
775594.9753194129,497.0357810769917,61.18795873715199,56809,80,0.024674464419376,TCP,2023-06-14 15:02:00,1135.246341826104,8.239005352508803
621675.7683277386,680.7389341747388,27.01820454351301,53183,53,0.020216062276121938,HTTPS,2023-06-14 15:03:00,659.4793023455667,25.492947156369777
681616.4135713901,805.4071088533021,39.747180486774724,64784,80,0.01907683621486447,TCP,2023-06-14 15:04:00,541.5136245966097,20.108264975992622
754270.1928299294,803.4046662159328,25.460750956200123,14188,8080,0.0243622792621963,TCP,2023-06-14 15:05:00,687.5478171781651,25.90457411154595
654439.4190901602,788.506542177959,51.688057057369775,24558,53,0.004930666189619253,HTTPS,2023-06-14 15:06:00,682.6465381522207,17.121078626458882
673606.8551260836,1427.096370350563,55.433705103395354,8844,5432,0.023774188339387544,UDP,2023-06-14 15:07:00,373.7660288717826,28.283674148493237
402079.80760629126,923.0977095541024,25.83867268048287,48926,80,0.09437906004496506,HTTP,2023-06-14 15:08:00,328.4807902594024,34.41089461384156
663820.6376638085,1040.0160957886035,22.16666096628871,54305,443,0.03483356462842833,TCP,2023-06-14 15:09:00,549.693502740625,40.649492250156
618785.8393048043,1671.1670562405197,18.65685283019824,61967,443,0.03178921712460401,TCP,2023-06-14 15:10:00,270.97923682927876,75.79106487889617
939098.2368816134,726.6477773734008,35.806554086911184,28518,8443,0.05812706402408814,TCP,2023-06-14 15:11:00,847.243597636919,19.239236538701228
592064.1691421632,1144.8526453615525,16.005380594760943,47917,80,0.01947053014119891,HTTP,2023-06-14 15:12:00,422.5406830884971,71.61036622809746
495448.2540414778,1014.9027326628064,19.31009281810303,60800,5432,0.04895631267446756,HTTPS,2023-06-14 15:13:00,327.9323136268975,45.39475420656476
1077450.6211870627,1149.3411468175552,14.088366237902772,45084,443,0.0361967206742055,HTTPS,2023-06-14 15:14:00,881.2459468034108,73.98100446722691
672335.4410042141,680.3028859242509,22.462472670849117,51960,443,0.06418650885487043,TCP,2023-06-14 15:15:00,728.0955171719629,29.92541855889477
686199.9077761472,1117.2199911642788,30.313651311015967,10580,22,0.027554254429376552,SSH,2023-06-14 15:16:00,544.4860274357312,33.451938139287726
672071.8682570584,1104.4738199296257,21.016351743952086,2146,80,0.03458390298325826,HTTP,2023-06-14 15:17:00,399.43153369377575,52.03308599509105
512960.06271207455,1140.9895692319271,36.30332153614511,43539,22,0.018948510421624563,SSH,2023-06-14 15:18:00,314.8216474458298,29.48962615794626
550963.6657450228,1282.1964868138475,24.02138863131228,44148,25,0.09817666068830744,SSH,2023-06-14 15:19:00,328.6467831974199,48.751200369683836
966776.9229886241,1039.0615734393214,53.05222000612765,48265,25,0.0343341667214177,HTTPS,2023-06-14 15:20:00,614.4871503529956,19.38758319053283
1042169.7181908503,984.0956069353733,11.92145081776661,50124,22,0.03731643139639808,SSH,2023-06-14 15:21:00,676.5712895586936,76.92070642983639
812047.7043646092,1726.7522848846238,40.174239061037426,1919,443,0.056894687924274975,HTTPS,2023-06-14 15:22:00,342.60468116582143,41.655373941066635
610375.9612435224,1504.344170389617,50.41130929898087,59002,443,0.014779158969353374,TCP,2023-06-14 15:23:00,319.92013609021114,30.372743221973654
477070.9227991781,1384.0918910800951,36.13336410050526,7640,443,0.03558199631872551,TCP,2023-06-14 15:24:00,249.53832227853906,37.574024202865694
811529.9314906044,1335.2033071996534,4.462313474113156,59972,80,0.022736171948540208,HTTP,2023-06-14 15:25:00,374.3559122715556,322.35125803142097
800631.0467582723,1077.3440088888956,3.3801513352582884,55215,25,0.01931497954667668,UDP,2023-06-14 15:26:00,532.0096700912623,318.9210194255775
367331.1855273432,793.8398118364173,18.300533614365605,58087,22,0.07055544247405306,SSH,2023-06-14 15:27:00,303.3744122717559,45.956616190342736
735644.5749914665,726.0234648760826,27.16802181756198,63409,80,0.020324218692835374,TCP,2023-06-14 15:28:00,893.3318181714108,30.221649758418184
827589.7342636883,1155.1571675433559,2.4313639505499123,46982,80,0.007004291708097141,TCP,2023-06-14 15:29:00,465.3730410842454,431.1162021095547
1040257.0186951072,579.9447320210454,46.043862496847254,39497,25,0.06419865980766636,TCP,2023-06-14 15:30:00,1139.1747299892606,13.75898082294962
924156.177066982,1298.6068840815137,26.180013803136994,61998,22,0.0034289468900657928,SSH,2023-06-14 15:31:00,511.43154822532455,49.688414292093896
641364.4767198272,1034.2110303184563,38.80730439226572,42392,80,0.01723194010163533,TCP,2023-06-14 15:32:00,390.23348719538836,27.542483557551474
1083906.5492268677,965.475627252964,41.54193694395612,11385,22,0.0898419604489799,SSH,2023-06-14 15:33:00,862.4446945811777,24.49234936022433
425211.2269032274,583.3614141172786,64.89055153459962,41495,80,0.018020135947231924,HTTP,2023-06-14 15:34:00,461.52847300676166,10.065988317828813
